"species","year","status","method","abundance"
"ermine",1993,"undetermined","testimonials",59
"ermine",1994,"undetermined","testimonials",46
"brown lemming",1995,"undetermined","trapping",2026
"collared lemming",1995,"undetermined","trapping",2026
"ermine",1995,"undetermined","testimonials",8
"brown lemming",1996,"undetermined","trapping",100080
"cackling goose",1996,"breeding","nest sampling (extrapolation nests)",2
"collared lemming",1996,"undetermined","trapping",9982
"ermine",1996,"undetermined","testimonials",33
"snowy owl",1996,"breeding","nest sampling (extrapolation nests)",40
"brown lemming",1997,"undetermined","trapping",14225
"cackling goose",1997,"breeding","nest sampling (extrapolation nests)",3
"collared lemming",1997,"undetermined","trapping",2026
"ermine",1997,"undetermined","testimonials",33
"snowy owl",1997,"breeding","nest sampling (extrapolation nests)",0
"brown lemming",1998,"undetermined","trapping",26590
"cackling goose",1998,"breeding","nest sampling (extrapolation nests)",3
"collared lemming",1998,"undetermined","trapping",24063
"ermine",1998,"undetermined","testimonials",8
"snowy owl",1998,"breeding","nest sampling (extrapolation nests)",0
"brown lemming",1999,"undetermined","trapping",2640
"cackling goose",1999,"breeding","nest sampling (extrapolation nests)",4
"collared lemming",1999,"undetermined","trapping",2026
"ermine",1999,"undetermined","testimonials",39
"snow goose",1999,"breeding","nest sampling (extrapolation colony)",8175
"snowy owl",1999,"breeding","nest sampling (extrapolation nests)",0
"brown lemming",2000,"undetermined","trapping",137110
"cackling goose",2000,"breeding","nest sampling (extrapolation nests)",4
"collared lemming",2000,"undetermined","trapping",16327
"ermine",2000,"undetermined","testimonials",21
"snow goose",2000,"breeding","nest sampling (extrapolation colony)",15412
"snowy owl",2000,"breeding","nest sampling (extrapolation nests)",67
"brown lemming",2001,"undetermined","trapping",9441
"cackling goose",2001,"breeding","nest sampling (extrapolation nests)",5
"collared lemming",2001,"undetermined","trapping",8350
"ermine",2001,"undetermined","testimonials",111
"snow goose",2001,"breeding","nest sampling (extrapolation colony)",35404
"snowy owl",2001,"breeding","nest sampling (extrapolation nests)",0
"brown lemming",2002,"undetermined","trapping",2026
"cackling goose",2002,"breeding","nest sampling (extrapolation nests)",6
"collared lemming",2002,"undetermined","trapping",2372
"ermine",2002,"undetermined","testimonials",59
"snow goose",2002,"breeding","nest sampling (extrapolation colony)",25715
"snowy owl",2002,"breeding","nest sampling (extrapolation nests)",0
"brown lemming",2003,"undetermined","trapping",2026
"cackling goose",2003,"breeding","nest sampling (extrapolation nests)",7
"collared lemming",2003,"undetermined","trapping",2026
"ermine",2003,"undetermined","testimonials",8
"snow goose",2003,"breeding","nest sampling (extrapolation colony)",33532
"snowy owl",2003,"breeding","nest sampling (extrapolation nests)",0
"brown lemming",2004,"undetermined","trapping",68378
"cackling goose",2004,"breeding","nest sampling (extrapolation nests)",9
"collared lemming",2004,"undetermined","trapping",12431
"ermine",2004,"undetermined","testimonials",49
"glaucous gull",2004,"breeding","nest sampling (extrapolation nests)",61
"long-tailed jaeger",2004,"breeding","nest sampling (extrapolation habitat)",270
"rough-legged hawk",2004,"breeding","nest sampling (extrapolation nests)",11
"snow goose",2004,"breeding","nest sampling (extrapolation colony)",2505
"snowy owl",2004,"breeding","nest sampling (extrapolation nests)",60
"brown lemming",2005,"undetermined","trapping",3276
"cackling goose",2005,"breeding","nest sampling (extrapolation nests)",10
"collared lemming",2005,"undetermined","trapping",4089
"ermine",2005,"undetermined","testimonials",8
"glaucous gull",2005,"breeding","nest sampling (extrapolation nests)",68
"long-tailed jaeger",2005,"breeding","nest sampling (extrapolation habitat)",158
"snow goose",2005,"breeding","nest sampling (extrapolation colony)",12773
"snowy owl",2005,"breeding","nest sampling (extrapolation nests)",0
"brown lemming",2006,"undetermined","trapping",4336
"cackling goose",2006,"breeding","nest sampling (extrapolation nests)",12
"collared lemming",2006,"undetermined","trapping",13817
"ermine",2006,"undetermined","testimonials",8
"glaucous gull",2006,"breeding","nest sampling (extrapolation nests)",73
"long-tailed jaeger",2006,"breeding","nest sampling (extrapolation habitat)",68
"rough-legged hawk",2006,"breeding","nest sampling (extrapolation nests)",11
"snow goose",2006,"breeding","nest sampling (extrapolation colony)",7402
"snowy owl",2006,"breeding","nest sampling (extrapolation nests)",0
"brown lemming",2007,"undetermined","trapping",4373
"cackling goose",2007,"breeding","nest sampling (extrapolation nests)",14
"collared lemming",2007,"undetermined","trapping",667
"ermine",2007,"undetermined","testimonials",59
"glaucous gull",2007,"breeding","nest sampling (extrapolation nests)",77
"long-tailed jaeger",2007,"breeding","nest sampling (extrapolation habitat)",293
"rough-legged hawk",2007,"breeding","nest sampling (extrapolation nests)",3
"snow goose",2007,"breeding","nest sampling (extrapolation colony)",10778
"snowy owl",2007,"breeding","nest sampling (extrapolation nests)",0
"brown lemming",2008,"undetermined","trapping",44827
"cackling goose",2008,"breeding","nest sampling (extrapolation nests)",17
"collared lemming",2008,"undetermined","trapping",6026
"ermine",2008,"undetermined","testimonials",59
"glaucous gull",2008,"breeding","nest sampling (extrapolation nests)",77
"long-tailed jaeger",2008,"breeding","nest sampling (extrapolation habitat)",900
"rough-legged hawk",2008,"breeding","nest sampling (extrapolation nests)",10
"snow goose",2008,"breeding","nest sampling (extrapolation colony)",21523
"snowy owl",2008,"breeding","nest sampling (extrapolation nests)",33
"brown lemming",2009,"undetermined","trapping",1945
"cackling goose",2009,"breeding","nest sampling (extrapolation nests)",20
"collared lemming",2009,"undetermined","trapping",0
"ermine",2009,"undetermined","testimonials",30
"glaucous gull",2009,"breeding","nest sampling (extrapolation nests)",74
"long-tailed jaeger",2009,"breeding","nest sampling (extrapolation habitat)",0
"rough-legged hawk",2009,"breeding","nest sampling (extrapolation nests)",7
"snow goose",2009,"breeding","nest sampling (extrapolation colony)",26199
"snowy owl",2009,"breeding","nest sampling (extrapolation nests)",0
"brown lemming",2010,"undetermined","trapping",95615
"cackling goose",2010,"breeding","nest sampling (extrapolation nests)",24
"collared lemming",2010,"undetermined","trapping",39302
"ermine",2010,"undetermined","testimonials",78
"glaucous gull",2010,"breeding","nest sampling (extrapolation nests)",76
"long-tailed jaeger",2010,"breeding","nest sampling (extrapolation habitat)",743
"rough-legged hawk",2010,"breeding","nest sampling (extrapolation nests)",59
"snow goose",2010,"breeding","combined methods",13524
"snowy owl",2010,"breeding","nest sampling (extrapolation nests)",40
"brown lemming",2011,"undetermined","trapping",154805
"cackling goose",2011,"breeding","nest sampling (extrapolation nests)",28
"collared lemming",2011,"undetermined","trapping",0
"ermine",2011,"undetermined","testimonials",156
"glaucous gull",2011,"breeding","nest sampling (extrapolation nests)",80
"long-tailed jaeger",2011,"breeding","nest sampling (extrapolation habitat)",585
"rough-legged hawk",2011,"breeding","nest sampling (extrapolation nests)",35
"snow goose",2011,"breeding","combined methods",27642
"snowy owl",2011,"breeding","nest sampling (extrapolation nests)",0
"brown lemming",2012,"undetermined","trapping",518
"cackling goose",2012,"breeding","nest sampling (extrapolation nests)",34
"collared lemming",2012,"undetermined","trapping",967
"ermine",2012,"undetermined","testimonials",40
"glaucous gull",2012,"breeding","nest sampling (extrapolation nests)",76
"long-tailed jaeger",2012,"breeding","nest sampling (extrapolation habitat)",0
"rough-legged hawk",2012,"breeding","nest sampling (extrapolation nests)",21
"snow goose",2012,"breeding","combined methods",25512
"snowy owl",2012,"breeding","nest sampling",0
"brown lemming",2013,"undetermined","trapping",0
"cackling goose",2013,"breeding","nest sampling (extrapolation nests)",40
"collared lemming",2013,"undetermined","trapping",967
"ermine",2013,"undetermined","testimonials",8
"glaucous gull",2013,"breeding","nest sampling (extrapolation nests)",59
"long-tailed jaeger",2013,"breeding","nest sampling (extrapolation habitat)",0
"peregrine falcon",2013,"breeding","nest sampling",10
"rough-legged hawk",2013,"breeding","nest sampling",0
"snow goose",2013,"breeding","combined methods",49076
"snowy owl",2013,"breeding","nest sampling",0
"American golden-plover",2014,"breeding","distance sampling",1040
"brown lemming",2014,"undetermined","trapping",153753
"cackling goose",2014,"breeding","nest sampling (extrapolation nests)",48
"collared lemming",2014,"undetermined","trapping",16924
"ermine",2014,"undetermined","testimonials",8
"glaucous gull",2014,"breeding","nest sampling (extrapolation nests)",76
"long-tailed jaeger",2014,"breeding","nest sampling (extrapolation habitat)",495
"peregrine falcon",2014,"breeding","nest sampling",12
"rough-legged hawk",2014,"breeding","nest sampling",62
"snow goose",2014,"breeding","combined methods",42487
"snowy owl",2014,"breeding","nest sampling",144
"American golden-plover",2015,"breeding","distance sampling",1008
"brown lemming",2015,"undetermined","trapping",88772
"cackling goose",2015,"breeding","nest sampling (extrapolation nests)",56
"collared lemming",2015,"undetermined","trapping",11440
"common-ringed plover",2015,"breeding","nest sampling",58
"ermine",2015,"undetermined","testimonials",8
"glaucous gull",2015,"breeding","nest sampling (extrapolation nests)",77
"long-tailed jaeger",2015,"breeding","nest sampling (extrapolation habitat)",383
"peregrine falcon",2015,"breeding","nest sampling",8
"rough-legged hawk",2015,"breeding","nest sampling",40
"snow goose",2015,"breeding","combined methods",37190
"snowy owl",2015,"breeding","nest sampling",0
"American golden-plover",2016,"breeding","distance sampling",828
"brown lemming",2016,"undetermined","trapping",63865
"cackling goose",2016,"breeding","nest sampling (extrapolation nests)",67
"collared lemming",2016,"undetermined","trapping",33439
"common-ringed plover",2016,"breeding","nest sampling",62
"ermine",2016,"undetermined","testimonials",104
"glaucous gull",2016,"breeding","nest sampling (extrapolation nests)",76
"long-tailed jaeger",2016,"breeding","nest sampling (extrapolation habitat)",428
"peregrine falcon",2016,"breeding","nest sampling",10
"rough-legged hawk",2016,"breeding","nest sampling",60
"snow goose",2016,"breeding","combined methods",39779
"snowy owl",2016,"breeding","nest sampling",6
"American golden-plover",2017,"breeding","distance sampling",968
"brown lemming",2017,"undetermined","trapping",5814
"cackling goose",2017,"breeding","nest sampling",80
"collared lemming",2017,"undetermined","trapping",142
"common-ringed plover",2017,"breeding","nest sampling",44
"ermine",2017,"undetermined","testimonials",31
"glaucous gull",2017,"breeding","nest sampling",76
"long-tailed jaeger",2017,"breeding","nest sampling (extrapolation habitat)",0
"Pacific loon",2017,"breeding","nest sampling",0
"peregrine falcon",2017,"breeding","nest sampling",10
"red-throated loon",2017,"breeding","nest sampling",42
"rough-legged hawk",2017,"breeding","nest sampling",8
"snow goose",2017,"breeding","combined methods",32031
"snowy owl",2017,"breeding","nest sampling",0
"tundra swan",2017,"breeding","nest sampling",0
"American golden-plover",2018,"breeding","distance sampling",400
"brown lemming",2018,"undetermined","trapping",125
"cackling goose",2018,"breeding","nest sampling",122
"collared lemming",2018,"undetermined","trapping",0
"ermine",2018,"undetermined","testimonials",8
"glaucous gull",2018,"breeding","nest sampling",80
"long-tailed jaeger",2018,"breeding","nest sampling (extrapolation habitat)",0
"Pacific loon",2018,"breeding","nest sampling",6
"peregrine falcon",2018,"breeding","nest sampling",10
"red-throated loon",2018,"breeding","nest sampling",76
"rough-legged hawk",2018,"breeding","nest sampling",2
"snow goose",2018,"breeding","combined methods",27626
"snowy owl",2018,"breeding","nest sampling",0
"tundra swan",2018,"breeding","nest sampling",2
"American golden-plover",2019,"breeding","distance sampling",306
"brown lemming",2019,"undetermined","trapping",24844
"cackling goose",2019,"breeding","nest sampling",152
"collared lemming",2019,"undetermined","trapping",4686
"ermine",2019,"undetermined","testimonials",8
"glaucous gull",2019,"breeding","nest sampling",68
"long-tailed jaeger",2019,"breeding","nest sampling (extrapolation habitat)",293
"Pacific loon",2019,"breeding","nest sampling",6
"peregrine falcon",2019,"breeding","nest sampling",12
"red-throated loon",2019,"breeding","nest sampling",70
"rough-legged hawk",2019,"breeding","nest sampling",66
"snow goose",2019,"breeding","combined methods",44178
"snowy owl",2019,"breeding","nest sampling",18
"tundra swan",2019,"breeding","nest sampling",2
"cackling goose",2020,"breeding","nest sampling (extrapolation nests)",133
"brown lemming",2021,"undetermined","trapping",447630
"cackling goose",2021,"breeding","nest sampling (extrapolation nests)",158
"collared lemming",2021,"undetermined","trapping",4402
"American golden-plover",2022,"breeding","distance sampling",795
"brown lemming",2022,"undetermined","trapping",111
"cackling goose",2022,"breeding","nest sampling",120
"collared lemming",2022,"undetermined","trapping",954
"glaucous gull",2022,"breeding","nest sampling",60
"long-tailed jaeger",2022,"breeding","nest sampling (extrapolation habitat)",0
"Pacific loon",2022,"breeding","nest sampling",4
"peregrine falcon",2022,"breeding","nest sampling",10
"red-throated loon",2022,"breeding","nest sampling",66
"rough-legged hawk",2022,"breeding","nest sampling",6
"snow goose",2022,"breeding","combined methods",8687
"snowy owl",2022,"breeding","nest sampling",0
"tundra swan",2022,"breeding","nest sampling",0
"American golden-plover",2023,"breeding","distance sampling",846
"cackling goose",2023,"breeding","nest sampling",214
"snow goose",2023,"breeding","combined methods",34496
"snowy owl",2023,"breeding","nest sampling",0
"American pipit",NA,"breeding","transects (relative abundance)",53
"American pipit",NA,"breeding","incidental observations (relative abundance)",87
"Arctic fox",NA,"undetermined","individual home range",53
"Arctic hare",NA,"undetermined","incidental observations (relative abundance)",6
"Baird's sandpiper",NA,"breeding","nest sampling (extrapolation transects)",2495
"black-bellied plover",NA,"breeding","transects (relative abundance)",22
"black-bellied plover",NA,"breeding","incidental observations (relative abundance)",61
"buff-breasted sandpiper",NA,"breeding","transects (relative abundance)",41
"buff-breasted sandpiper",NA,"breeding","incidental observations (relative abundance)",8
"common raven",NA,"undetermined","transects (relative abundance)",14
"common raven",NA,"undetermined","incidental observations (relative abundance)",31
"horned lark",NA,"breeding","transects (relative abundance)",362
"horned lark",NA,"breeding","incidental observations (relative abundance)",411
"king eider",NA,"breeding","nest sampling (extrapolation habitat)",25
"king eider",NA,"undetermined","incidental observations (relative abundance)",106
"Lapland longspur",NA,"breeding","nest sampling (extrapolation transects)",7110
"long-tailed duck",NA,"breeding","nest sampling (extrapolation habitat)",20
"long-tailed duck",NA,"undetermined","incidental observations (relative abundance)",191
"parasitic jaeger",NA,"undetermined","banding",17
"parasitic jaeger",NA,"breeding","nest sampling",8
"pectoral sandpiper",NA,"breeding","transects (relative abundance)",79
"pectoral sandpiper",NA,"breeding","incidental observations (relative abundance)",260
"red knot",NA,"breeding","transects (relative abundance)",64
"red knot",NA,"breeding","incidental observations (relative abundance)",237
"red phalarope",NA,"breeding","transects (relative abundance)",156
"red phalarope",NA,"breeding","incidental observations (relative abundance)",276
"rock ptarmigan",NA,"breeding","nest sampling (extrapolation habitat)",24
"ruddy turnstone",NA,"breeding","transects (relative abundance)",40
"ruddy turnstone",NA,"breeding","incidental observations (relative abundance)",54
"sandhill crane",NA,"breeding","nest sampling (extrapolation transects)",34
"snow bunting",NA,"breeding","transects (relative abundance)",18
"snow bunting",NA,"breeding","incidental observations (relative abundance)",276
"white-rumped sandpiper",NA,"breeding","transects (relative abundance)",1135
"white-rumped sandpiper",NA,"breeding","incidental observations (relative abundance)",1156
